Temperature,Frequency
10.000000 ,90.336880K
10.250000 ,90.533928K
10.500000 ,90.691550K
10.750000 ,90.910268K
11.000000 ,91.072088K
11.250000 ,91.243895K
11.500000 ,91.368237K
11.750000 ,91.592838K
12.000000 ,91.671614K
12.250000 ,91.939441K
12.500000 ,92.104150K
12.750000 ,92.271747K
13.000000 ,92.470752K
13.250000 ,92.645806K
13.500000 ,92.828577K
13.750000 ,93.012527K
14.000000 ,93.187246K
14.250000 ,93.385782K
14.500000 ,93.551028K
14.750000 ,93.772233K
15.000000 ,94.019868K
15.000000 ,93.916027K
15.250000 ,94.195520K
15.500000 ,94.386847K
15.750000 ,94.558319K
16.000000 ,94.675838K
16.250000 ,94.871233K
16.500000 ,95.150778K
16.750000 ,95.251940K
17.000000 ,95.469481K
17.250000 ,95.872743K
17.500000 ,96.067519K
17.750000 ,96.295091K
18.000000 ,96.392838K
18.250000 ,96.445296K
18.500000 ,96.778412K
18.750000 ,97.129454K
19.000000 ,97.170559K
19.250000 ,97.500231K
19.500000 ,97.767615K
19.750000 ,97.983149K
20.000000 ,98.173970K
20.250000 ,98.149523K
20.500000 ,98.422500K
20.750000 ,98.815787K
21.000000 ,99.025102K
21.250000 ,99.266855K
21.500000 ,99.269016K
21.750000 ,99.725948K
22.000000 ,99.813705K
22.250000 ,99.992347K
22.500000 ,100.345483K
22.750000 ,100.490845K
23.000000 ,100.768515K
23.250000 ,100.973628K
23.500000 ,101.326061K
23.750000 ,101.512719K
24.000000 ,101.780467K
24.250000 ,102.021984K
24.500000 ,102.262519K
24.750000 ,102.514488K
25.000000 ,102.809428K
25.250000 ,102.987372K
25.500000 ,103.250868K
25.750000 ,103.476468K
26.000000 ,103.778354K
26.250000 ,103.962644K
26.500000 ,104.213651K
26.750000 ,104.484390K
27.000000 ,104.923699K
27.250000 ,105.263207K
27.500000 ,105.506592K
27.750000 ,105.507784K
28.000000 ,105.780709K
28.250000 ,106.041591K
28.500000 ,106.357596K
28.750000 ,106.592431K
29.000000 ,107.260244K
29.250000 ,107.293108K
29.500000 ,107.831764K
29.750000 ,108.033240K
30.000000 ,108.280222K
30.250000 ,108.428800K
30.500000 ,108.594523K
30.750000 ,109.263202K
31.000000 ,109.241780K
31.250000 ,109.535756K
31.500000 ,110.104958K
31.750000 ,110.293667K
32.000000 ,110.451923K
32.250000 ,110.868845K
32.500000 ,111.383114K
32.750000 ,111.686139K
33.000000 ,111.881924K
33.250000 ,112.204740K
33.500000 ,112.505688K
33.750000 ,112.906257K
34.000000 ,113.257410K
34.250000 ,113.593916K
34.500000 ,113.921752K
34.750000 ,114.370693K
35.000000 ,114.619228K
35.250000 ,115.021543K
35.500000 ,115.398085K
35.750000 ,115.816058K
36.000000 ,115.994420K
36.250000 ,116.320577K
36.500000 ,117.011561K
36.750000 ,117.124789K
37.000000 ,117.832987K
37.250000 ,118.207084K
37.500000 ,118.024536K
37.750000 ,118.783986K
38.000000 ,118.848749K
38.250000 ,119.760491K
38.500000 ,119.763718K
38.750000 ,119.943352K
39.000000 ,120.983090K
39.250000 ,121.391487K
39.500000 ,121.794805K
39.750000 ,122.114663K
40.000000 ,122.621449K
40.250000 ,122.404426K
40.500000 ,122.948664K
40.750000 ,123.795764K
41.000000 ,124.016198K
41.250000 ,124.592331K
41.500000 ,125.128567K
41.750000 ,125.183676K
42.000000 ,125.932380K
42.250000 ,126.356184K
42.500000 ,126.788027K
42.750000 ,127.300836K
43.000000 ,127.764079K
43.250000 ,128.220535K
43.500000 ,128.686104K
43.750000 ,129.436133K
44.000000 ,129.638640K
44.250000 ,130.535327K
44.500000 ,130.537376K
44.750000 ,131.039537K
45.000000 ,131.954316K
45.250000 ,132.842681K
45.500000 ,133.236150K
45.750000 ,133.235416K
46.000000 ,133.777103K
46.250000 ,135.000430K
46.500000 ,135.660205K
46.750000 ,135.911657K
47.000000 ,136.854275K
47.250000 ,136.346838K
47.500000 ,137.908076K
47.750000 ,138.073315K
48.000000 ,139.205358K
48.250000 ,139.732537K
48.500000 ,140.117198K
48.750000 ,140.006635K
49.000000 ,141.075600K
49.250000 ,142.211918K
49.500000 ,142.602945K
49.750000 ,143.465122K
50.000000 ,144.150199K
50.250000 ,144.632867K
50.500000 ,145.316209K
50.750000 ,146.028792K
51.000000 ,146.812599K
51.250000 ,147.339389K
51.500000 ,148.167511K
51.750000 ,149.510617K
52.000000 ,150.267221K
52.250000 ,150.216530K
52.500000 ,150.983035K
52.750000 ,152.821111K
53.000000 ,153.064098K
53.250000 ,153.079203K
53.500000 ,154.969299K
53.750000 ,156.526526K
54.000000 ,156.979168K
54.250000 ,156.306987K
54.500000 ,159.207918K
54.750000 ,160.110685K
55.000000 ,159.405471K
55.250000 ,161.922525K
55.500000 ,161.512638K
55.750000 ,162.003917K
56.000000 ,164.343358K
56.250000 ,165.448109K
56.500000 ,165.554954K
56.750000 ,167.525876K
